"","state","PC_name","O.S.N.","Candidate","Party","EVM.Votes","Postal.Votes","Total.Votes","Pct.of.Votes","NA.","NA..1","Migrant.Votes"
"2122","Uttar Pradesh","Phulpur","11","Sunil Kumar Maurya","Pragatisheel Samaj Party","2185","4","2189","0.22",NA,NA,NA
"2123","Uttar Pradesh","Phulpur","12","Sanjeev Kumar Mishra","Yuva Vikas Party","2858","0","2858","0.29",NA,NA,NA
"2124","Uttar Pradesh","Phulpur","13","Rishabh Pandey","Independent","1945","0","1945","0.2",NA,NA,NA
"2125","Uttar Pradesh","Phulpur","14","Dr. Neeraj","Independent","2969","3","2972","0.3",NA,NA,NA
"2126","Uttar Pradesh","Phulpur","15","NOTA","None of the Above","7862","20","7882","0.81",NA,NA,NA
"2127","Uttar Pradesh","Kaushambi","1","INDRAJEET SAROJ","Samajwadi Party","343274","1013","344287","35.33",NA,NA,NA
"2128","Uttar Pradesh","Kaushambi","2","GIRISH PASI","Indian National Congress","16384","58","16442","1.69",NA,NA,NA
"2129","Uttar Pradesh","Kaushambi","3","VINOD KUMAR SONKAR","Bharatiya Janata Party","381517","1492","383009","39.31",NA,NA,NA
"2130","Uttar Pradesh","Kaushambi","4","BACHACHA LAL","Bhartiya Shakti Chetna Party","6206","5","6211","0.64",NA,NA,NA
"2131","Uttar Pradesh","Kaushambi","5","MISHRI LAL","Swatantra Jantaraj Party","3178","5","3183","0.33",NA,NA,NA
"2132","Uttar Pradesh","Kaushambi","6","RAJDEV","Pragatishil Samajwadi Party (Lohia)","4986","0","4986","0.51",NA,NA,NA
"2133","Uttar Pradesh","Kaushambi","7","SHAILENDRA KUMAR PASI","Jansatta Dal Loktantrik","156269","137","156406","16.05",NA,NA,NA
"2134","Uttar Pradesh","Kaushambi","8","CHHEDDU","Independent","3562","4","3566","0.37",NA,NA,NA
"2135","Uttar Pradesh","Kaushambi","9","PRADEEP KUMAR","Independent","2376","1","2377","0.24",NA,NA,NA
"2136","Uttar Pradesh","Kaushambi","10","RAM SUMER","Independent","4219","5","4224","0.43",NA,NA,NA
"2137","Uttar Pradesh","Kaushambi","11","SHAILENDRA KUMAR","Independent","26954","13","26967","2.77",NA,NA,NA
"2138","Uttar Pradesh","Kaushambi","12","SHAILENDRA KUMAR","Independent","8009","2","8011","0.82",NA,NA,NA
"2139","Uttar Pradesh","Kaushambi","13","NOTA","None of the Above","14751","18","14769","1.52",NA,NA,NA
"2140","Uttar Pradesh","Fatehpur","1","NIRANJAN JYOTI","Bharatiya Janata Party","563715","2325","566040","54.24",NA,NA,NA
"2141","Uttar Pradesh","Fatehpur","2","RAKESH SACHAN","Indian National Congress","65738","339","66077","6.33",NA,NA,NA
"2142","Uttar Pradesh","Fatehpur","3","SUKHDEV PRASAD VERMA","Bahujan Samaj Party","366167","1668","367835","35.24",NA,NA,NA
"2143","Uttar Pradesh","Fatehpur","4","ASHOK KUMAR MISHRA","Janhit Bharat Party","5266","12","5278","0.51",NA,NA,NA
"2144","Uttar Pradesh","Fatehpur","5","MAHESH CHANDRA SAHU","Pragatishil Samajwadi Party (Lohia)","2706","12","2718","0.26",NA,NA,NA
"2145","Uttar Pradesh","Fatehpur","6","RAJKUMAR LODHI","Vikas Insaf Party","2454","3","2457","0.24",NA,NA,NA
"2146","Uttar Pradesh","Fatehpur","7","RAMKUMAR","Peoples Party of India (Democratic)","2779","1","2780","0.27",NA,NA,NA
"2147","Uttar Pradesh","Fatehpur","8","KAMTA PRASAD","Independent","3794","2","3796","0.36",NA,NA,NA
"2148","Uttar Pradesh","Fatehpur","9","JUBER AHMAD","Independent","4903","3","4906","0.47",NA,NA,NA
"2149","Uttar Pradesh","Fatehpur","10","BENI PRASAD","Independent","7072","4","7076","0.68",NA,NA,NA
"2150","Uttar Pradesh","Fatehpur","11","NOTA","None of the Above","14640","52","14692","1.41",NA,NA,NA
"2151","Uttar Pradesh","Banda","1","BALKUMAR PATEL","Indian National Congress","75350","88","75438","7.29",NA,NA,NA
"2152","Uttar Pradesh","Banda","2","MAHENDRA","Communist Party of India","10347","2","10349","1",NA,NA,NA
"2153","Uttar Pradesh","Banda","3","SHYAMA CHARAN GUPTA","Samajwadi Party","418647","341","418988","40.5",NA,NA,NA
"2154","Uttar Pradesh","Banda","4","R.K. SINGH PATEL","Bharatiya Janata Party","477100","826","477926","46.2",NA,NA,NA
"2155","Uttar Pradesh","Banda","5","CHHOTELAL","Pragatishil Samajwadi Party (Lohia)","12746","1","12747","1.23",NA,NA,NA
"2156","Uttar Pradesh","Banda","6","MIRA DEVI","Swatantra Jantaraj Party","6539","6","6545","0.63",NA,NA,NA
"2157","Uttar Pradesh","Banda","7","SHIRAZ RAHAT KHAN","Ambedkar Samaj Party","7869","4","7873","0.76",NA,NA,NA
"2158","Uttar Pradesh","Banda","8","RAMPRATAP","Independent","5430","3","5433","0.53",NA,NA,NA
"2159","Uttar Pradesh","Banda","9","NOTA","None of the Above","19248","2","19250","1.86",NA,NA,NA
"2160","Uttar Pradesh","Hamirpur","1","DILIP KUMAR SINGH","Bahujan Samaj Party","325803","667","326470","29.96",NA,NA,NA
"2161","Uttar Pradesh","Hamirpur","2","KUNWAR PUSHPENDRA SINGH CHANDEL","Bharatiya Janata Party","574101","1021","575122","52.77",NA,NA,NA
"2162","Uttar Pradesh","Hamirpur","3","PRITAM SINGH LODHI KISAAN","Indian National Congress","114376","158","114534","10.51",NA,NA,NA
"2163","Uttar Pradesh","Hamirpur","4","ARVIND KUMAR PRAJAPATI","Pragatishil Samajwadi Party (Lohia)","4247","4","4251","0.39",NA,NA,NA
"2164","Uttar Pradesh","Hamirpur","5","ER. KEDARNATH VISHWAKARMA","Bahujan Mukti Party","2848","3","2851","0.26",NA,NA,NA
"2165","Uttar Pradesh","Hamirpur","6","SHRIRAM SINGH GAUR","Bhartiya Shakti Chetna Party","2834","1","2835","0.26",NA,NA,NA
"2166","Uttar Pradesh","Hamirpur","7","SURESH CHANDRA RAJPUT","Rashtriya Kranti Party","1983","0","1983","0.18",NA,NA,NA
"2167","Uttar Pradesh","Hamirpur","8","KAMLESH KUMAR","Independent","2441","3","2444","0.22",NA,NA,NA
"2168","Uttar Pradesh","Hamirpur","9","KAMTA PRASAD PRAJAPATI","Independent","2693","4","2697","0.25",NA,NA,NA
"2169","Uttar Pradesh","Hamirpur","10","MADHURAJ","Independent","2304","2","2306","0.21",NA,NA,NA
"2170","Uttar Pradesh","Hamirpur","11","RAJESH","Independent","4917","0","4917","0.45",NA,NA,NA
"2171","Uttar Pradesh","Hamirpur","12","RAM GOPAL","Independent","4205","1","4206","0.39",NA,NA,NA
"2172","Uttar Pradesh","Hamirpur","13","SARJOOLAL","Independent","5206","0","5206","0.48",NA,NA,NA
"2173","Uttar Pradesh","Hamirpur","14","SANJAY KUMAR SAHU","Independent","24787","14","24801","2.28",NA,NA,NA
"2174","Uttar Pradesh","Hamirpur","15","NOTA","None of the Above","15141","14","15155","1.39",NA,NA,NA
"2175","Uttar Pradesh","Jhansi","1","Anurag Sharma","Bharatiya Janata Party","808371","901","809272","58.61",NA,NA,NA
"2176","Uttar Pradesh","Jhansi","2","Shyam Sundar Singh","Samajwadi Party","443090","499","443589","32.12",NA,NA,NA
"2177","Uttar Pradesh","Jhansi","3","Shivsharan","Indian National Congress","86080","59","86139","6.24",NA,NA,NA
"2178","Uttar Pradesh","Jhansi","4","Gaurishankar","Kisan Raksha Party,","3302","1","3303","0.24",NA,NA,NA
"2179","Uttar Pradesh","Jhansi","5","Jagat Vikram Singh","Pragatishil Samajwadi Party (Lohia)","2696","1","2697","0.2",NA,NA,NA
"2180","Uttar Pradesh","Jhansi","6","Dilshad Ahmed Siddique","Swatantra Jantaraj Party","2263","1","2264","0.16",NA,NA,NA
"2181","Uttar Pradesh","Jhansi","7","Shruti Agrawal","Bundelkhand Kranti Dal","1845","4","1849","0.13",NA,NA,NA
"2182","Uttar Pradesh","Jhansi","8","Kalpana Khard","Independent","1769","1","1770","0.13",NA,NA,NA
"2183","Uttar Pradesh","Jhansi","9","Raja Khateek","Independent","2247","3","2250","0.16",NA,NA,NA
"2184","Uttar Pradesh","Jhansi","10","Ramgopal","Independent","3807","0","3807","0.28",NA,NA,NA
"2185","Uttar Pradesh","Jhansi","11","Sunil Prajapati","Independent","5709","2","5711","0.41",NA,NA,NA
"2186","Uttar Pradesh","Jhansi","12","NOTA","None of the Above","18228","11","18239","1.32",NA,NA,NA
"2187","Uttar Pradesh","Jalaun","1","AJAY SINGH (PANKAJ)","Bahujan Samaj Party","422476","910","423386","37.47",NA,NA,NA
"2188","Uttar Pradesh","Jalaun","2","BRIJLAL KHABRI","Indian National Congress","89444","162","89606","7.93",NA,NA,NA
"2189","Uttar Pradesh","Jalaun","3","BHANU PRATAP SINGH VERMA","Bharatiya Janata Party","579723","2040","581763","51.49",NA,NA,NA
"2190","Uttar Pradesh","Jalaun","4","RAMSINGH","Communist Party of India  (Marxist-Leninist)  (Liberation)","8786","6","8792","0.78",NA,NA,NA
"2191","Uttar Pradesh","Jalaun","5","SHRAVAN KUMAR PAL","Rashtriya Shoshit Samaj Party","13861","33","13894","1.23",NA,NA,NA
"2192","Uttar Pradesh","Jalaun","6","NOTA","None of the Above","12493","21","12514","1.11",NA,NA,NA
"2193","Uttar Pradesh","Akbarpur","1","Devendra Singh 'Bhole'","Bharatiya Janata Party","577603","3679","581282","56.69",NA,NA,NA
"2194","Uttar Pradesh","Akbarpur","2","Nisha Sachan","Bahujan Samaj Party","304553","1587","306140","29.86",NA,NA,NA
"2195","Uttar Pradesh","Akbarpur","3","Rajaram Pal","Indian National Congress","107592","749","108341","10.57",NA,NA,NA
"2196","Uttar Pradesh","Akbarpur","4","Amit Tripathi","Adhunik Bharat Party","1971","5","1976","0.19",NA,NA,NA
"2197","Uttar Pradesh","Akbarpur","5","Ashok Paswan","Sabhi Jan Party","864","2","866","0.08",NA,NA,NA
"2198","Uttar Pradesh","Akbarpur","6","Mahendra Singh Yadav","Pragatishil Samajwadi Party (Lohia)","2005","42","2047","0.2",NA,NA,NA
"2199","Uttar Pradesh","Akbarpur","7","Ravi Sachan","Janata Dal  (United)","1024","4","1028","0.1",NA,NA,NA
"2200","Uttar Pradesh","Akbarpur","8","Prof. Ramgopal Sankhwar","Rashtriya Janutthan Party","770","6","776","0.08",NA,NA,NA
"2201","Uttar Pradesh","Akbarpur","9","Saurabh Mishra","Bhartiya Shakti Chetna Party","2928","12","2940","0.29",NA,NA,NA
"2202","Uttar Pradesh","Akbarpur","10","Arun Kumar","Independent","1573","5","1578","0.15",NA,NA,NA
"2203","Uttar Pradesh","Akbarpur","11","Niraj Kumar Pasi Advocate","Independent","1626","1","1627","0.16",NA,NA,NA
"2204","Uttar Pradesh","Akbarpur","12","Manoj Gupta","Independent","3269","1","3270","0.32",NA,NA,NA
"2205","Uttar Pradesh","Akbarpur","13","Vikas Tripathi","Independent","2231","3","2234","0.22",NA,NA,NA
"2206","Uttar Pradesh","Akbarpur","14","Sunil Kumar","Independent","3214","1","3215","0.31",NA,NA,NA
"2207","Uttar Pradesh","Akbarpur","15","NOTA","None of the Above","7919","75","7994","0.78",NA,NA,NA
"2208","Uttar Pradesh","Kanpur","1","Ram Kumar","Samajwadi Party","47703","572","48275","5.73",NA,NA,NA
"2209","Uttar Pradesh","Kanpur","2","Sriprakash Jaiswal","Indian National Congress","311409","1594","313003","37.13",NA,NA,NA
"2210","Uttar Pradesh","Kanpur","3","Satyadev Pachauri","Bharatiya Janata Party","466442","2495","468937","55.63",NA,NA,NA
"2211","Uttar Pradesh","Kanpur","4","Alok Kumar","Sabhi Jan Party","1883","2","1885","0.22",NA,NA,NA
"2212","Uttar Pradesh","Kanpur","5","Poonam Shukla","Bhartiya Shakti Chetna Party","1116","14","1130","0.13",NA,NA,NA
"2213","Uttar Pradesh","Kanpur","6","Balveer Singh Chandel","Shivsena","589","2","591","0.07",NA,NA,NA
"2214","Uttar Pradesh","Kanpur","7","Mukti Yadav","Bharatiya Rashtriya Morcha","314","2","316","0.04",NA,NA,NA
"2215","Uttar Pradesh","Kanpur","8","Reena Urf Renu","Saaf Party","364","3","367","0.04",NA,NA,NA
"2216","Uttar Pradesh","Kanpur","9","Chandra Bhan Sankhwar","Independent","592","3","595","0.07",NA,NA,NA
"2217","Uttar Pradesh","Kanpur","10","Javed Mohammad Khan","Independent","694","2","696","0.08",NA,NA,NA
"2218","Uttar Pradesh","Kanpur","11","Triveni Narayan Jaiswal","Independent","486","0","486","0.06",NA,NA,NA
"2219","Uttar Pradesh","Kanpur","12","Dilshad Ahmad","Independent","580","0","580","0.07",NA,NA,NA
"2220","Uttar Pradesh","Kanpur","13","Ram Gopal Uttam","Independent","1077","1","1078","0.13",NA,NA,NA
"2221","Uttar Pradesh","Kanpur","14","Shivam Kushwaha","Independent","997","1","998","0.12",NA,NA,NA
"2222","Uttar Pradesh","Kanpur","15","NOTA","None of the Above","4007","50","4057","0.48",NA,NA,NA
"2223","Uttar Pradesh","Kannauj","1","DIMPLE YADAV","Samajwadi Party","549200","1534","550734","48.29",NA,NA,NA
"2224","Uttar Pradesh","Kannauj","2","SUBRAT PATHAK","Bharatiya Janata Party","561286","1801","563087","49.37",NA,NA,NA
"2225","Uttar Pradesh","Kannauj","3","ANAND VIKRAM SINGH","Shivsena","4905","17","4922","0.43",NA,NA,NA
"2226","Uttar Pradesh","Kannauj","4","RAMA DEVI","Bhartiya Vanchitsamaj Party","972","12","984","0.09",NA,NA,NA
"2227","Uttar Pradesh","Kannauj","5","SATYA RAM","Rashtriya Kranti Party","875","0","875","0.08",NA,NA,NA
"2228","Uttar Pradesh","Kannauj","6","SUBHASH CHANDRA DOHRE","All India Forward Bloc","1337","0","1337","0.12",NA,NA,NA
"2229","Uttar Pradesh","Kannauj","7","SANJEEV KUMAR","Rashtriya Samaj Paksha","1200","3","1203","0.11",NA,NA,NA
"2230","Uttar Pradesh","Kannauj","8","ANKIT SINGH","Independent","1159","4","1163","0.1",NA,NA,NA
"2231","Uttar Pradesh","Kannauj","9","PRATYUSH PATHAK","Independent","3881","2","3883","0.34",NA,NA,NA
"2232","Uttar Pradesh","Kannauj","10","SUNIL BHARTI","Independent","4143","0","4143","0.36",NA,NA,NA
"2233","Uttar Pradesh","Kannauj","11","NOTA","None of the Above","8142","23","8165","0.72",NA,NA,NA
"2234","Uttar Pradesh","Etawah","1","ASHOK KUMAR DOHARE","Indian National Congress","16460","110","16570","1.61",NA,NA,NA
"2235","Uttar Pradesh","Etawah","2","KAMLESH KUMAR","Samajwadi Party","455957","1725","457682","44.53",NA,NA,NA
"2236","Uttar Pradesh","Etawah","3","Dr RAM SHANKAR KATHERIA","Bharatiya Janata Party","519674","2445","522119","50.8",NA,NA,NA
"2237","Uttar Pradesh","Etawah","4","AKSHASH KRISHNA","Pichhra Samaj Party","4064","9","4073","0.4",NA,NA,NA
"2238","Uttar Pradesh","Etawah","5","AJAY KUMAR","Bhartiya Jan Nayak Party","850","5","855","0.08",NA,NA,NA
"2239","Uttar Pradesh","Etawah","6","ARUN KUMAR","Jan Samman party","837","3","840","0.08",NA,NA,NA
"2240","Uttar Pradesh","Etawah","7","ARTI DEVI","Mahasankalp Janta Party","1481","12","1493","0.15",NA,NA,NA
"2241","Uttar Pradesh","Etawah","8","LALTA PRASAD","Voters Party  International","1265","1","1266","0.12",NA,NA,NA
"2242","Uttar Pradesh","Etawah","9","SHAMBHU DAYAL DOHARE","Pragatishil Samajwadi Party (Lohia)","8657","18","8675","0.84",NA,NA,NA
"2243","Uttar Pradesh","Etawah","10","SITA","Bhartiya Shakti Chetna Party","1153","1","1154","0.11",NA,NA,NA
"2244","Uttar Pradesh","Etawah","11","DALVEER SINGH","Independent","2111","1","2112","0.21",NA,NA,NA
"2245","Uttar Pradesh","Etawah","12","POOJA","Independent","2504","4","2508","0.24",NA,NA,NA
"2246","Uttar Pradesh","Etawah","13","SANJAY KUMAR","Independent","2857","1","2858","0.28",NA,NA,NA
"2247","Uttar Pradesh","Etawah","14","NOTA","None of the Above","5580","30","5610","0.55",NA,NA,NA
"2248","Uttar Pradesh","Farrukhabad","1","Manoj Agarwal","Bahujan Samaj Party","347714","464","348178","34.72",NA,NA,NA
"2249","Uttar Pradesh","Farrukhabad","2","Mukesh Rajput","Bharatiya Janata Party","567930","1950","569880","56.82",NA,NA,NA
"2250","Uttar Pradesh","Farrukhabad","3","Salman Khurshid","Indian National Congress","55143","115","55258","5.51",NA,NA,NA
"2251","Uttar Pradesh","Farrukhabad","4","Uday pal Singh","Pragatishil Samajwadi Party (Lohia)","9671","30","9701","0.97",NA,NA,NA
"2252","Uttar Pradesh","Farrukhabad","5","Luxman","Shivsena","1887","6","1893","0.19",NA,NA,NA
"2253","Uttar Pradesh","Farrukhabad","6","Vipin Kumar Mishra","Bhartiya Shakti Chetna Party","1311","1","1312","0.13",NA,NA,NA
"2254","Uttar Pradesh","Farrukhabad","7","Shri Krishna","Mazdoor Dalit Kisaan Mahila Gareeb Party (Hindustani)","1667","2","1669","0.17",NA,NA,NA
"2255","Uttar Pradesh","Farrukhabad","8","Rahul Kumar","Independent","3661","1","3662","0.37",NA,NA,NA
"2256","Uttar Pradesh","Farrukhabad","9","Sanjay Kumar","Independent","3963","0","3963","0.4",NA,NA,NA
"2257","Uttar Pradesh","Farrukhabad","10","NOTA","None of the Above","7426","11","7437","0.74",NA,NA,NA
"2258","Uttar Pradesh","Pratapgarh","1","ASHOK TRIPATHI","Bahujan Samaj Party","316633","1906","318539","34.83",NA,NA,NA
"2259","Uttar Pradesh","Pratapgarh","2","RAJKUMARI RATNA SINGH","Indian National Congress","76686","410","77096","8.43",NA,NA,NA
"2260","Uttar Pradesh","Pratapgarh","3","SANGAM LAL GUPTA","Bharatiya Janata Party","434222","2069","436291","47.7",NA,NA,NA
"2261","Uttar Pradesh","Pratapgarh","4","AKSHAY PRATAP SINGH ALIAS GOPAL JI","Jansatta Dal Loktantrik","46766","197","46963","5.13",NA,NA,NA
"2262","Uttar Pradesh","Pratapgarh","5","M. IRSHAD","Sarvodaya Bharat Party","5558","1","5559","0.61",NA,NA,NA
"2263","Uttar Pradesh","Pratapgarh","6","RAM BAHADUR SHARMA","Moulik Adhikar Party","5576","2","5578","0.61",NA,NA,NA
"2264","Uttar Pradesh","Pratapgarh","7","SHESHNATH TIWARI","SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)","4526","2","4528","0.5",NA,NA,NA
"2265","Uttar Pradesh","Pratapgarh","8","DR. B. L. VERMA","Independent","7921","31","7952","0.87",NA,NA,NA
"2266","Uttar Pradesh","Pratapgarh","9","NOTA","None of the Above","12127","32","12159","1.33",NA,NA,NA
"2267","Uttar Pradesh","Sultanpur","1","CHANDRA BHADRA SINGH ""SSONU""","Bahujan Samaj Party","444422","248","444670","44.45",NA,NA,NA
"2268","Uttar Pradesh","Sultanpur","2","MANEKA SANJAI GANDHI","Bharatiya Janata Party","458281","915","459196","45.91",NA,NA,NA
"2269","Uttar Pradesh","Sultanpur","3","Dr. SANJAY SINH","Indian National Congress","41588","93","41681","4.17",NA,NA,NA
"2270","Uttar Pradesh","Sultanpur","4","RISHABH SHRIVASTAVA","Bhartiya Hind Fauj","2424","3","2427","0.24",NA,NA,NA
"2271","Uttar Pradesh","Sultanpur","5","KAMLA DEVI","Pragatishil Samajwadi Party (Lohia)","11484","10","11494","1.15",NA,NA,NA
"2272","Uttar Pradesh","Sultanpur","6","NASIR ALI","Bharat Prabhat Party","1246","0","1246","0.12",NA,NA,NA
"2273","Uttar Pradesh","Sultanpur","7","FIROJ AHAMAD","Kanshiram Bahujan Dal","1590","2","1592","0.16",NA,NA,NA
"2274","Uttar Pradesh","Sultanpur","8","MANJU LATA PAL","Aam Janta Party (India)","2148","0","2148","0.21",NA,NA,NA
"2275","Uttar Pradesh","Sultanpur","9","SUNITA RAJBHAR","Suheldev Bharatiya Samaj Party","4270","1","4271","0.43",NA,NA,NA
"2276","Uttar Pradesh","Sultanpur","10","HARI LAL","Rastriya Insaaf Party","3265","0","3265","0.33",NA,NA,NA
"2277","Uttar Pradesh","Sultanpur","11","AKHILESH","Independent","1826","2","1828","0.18",NA,NA,NA
"2278","Uttar Pradesh","Sultanpur","12","ABU UMAIMA","Independent","1577","0","1577","0.16",NA,NA,NA
"2279","Uttar Pradesh","Sultanpur","13","MATHURA","Independent","2226","0","2226","0.22",NA,NA,NA
"2280","Uttar Pradesh","Sultanpur","14","RAJ KUMAR","Independent","5756","0","5756","0.58",NA,NA,NA
"2281","Uttar Pradesh","Sultanpur","15","VIRENDRA","Independent","7168","0","7168","0.72",NA,NA,NA
"2282","Uttar Pradesh","Sultanpur","16","NOTA","None of the Above","9770","1","9771","0.98",NA,NA,NA
"2283","Uttar Pradesh","Amethi","1","Rahul Gandhi","Indian National Congress","412867","527","413394","43.86",NA,NA,NA
"2284","Uttar Pradesh","Amethi","2","Smriti Irani","Bharatiya Janata Party","467598","916","468514","49.71",NA,NA,NA
"2285","Uttar Pradesh","Amethi","3","Afajal Varis","Bahujan Mukti Party","6177","6","6183","0.66",NA,NA,NA
"2286","Uttar Pradesh","Amethi","4","Gopal Swaroop Gandhi","Kisan Majdoor Berojgar Sangh","1574","0","1574","0.17",NA,NA,NA
"2287","Uttar Pradesh","Amethi","5","Durgesh Singh","Bharat Prabhat Party","956","2","958","0.1",NA,NA,NA
"2288","Uttar Pradesh","Amethi","6","Nathu Ram","Janvadi Party(Socialist)","846","1","847","0.09",NA,NA,NA
"2289","Uttar Pradesh","Amethi","7","Prem Shankar","Moulik Adhikar Party","1728","1","1729","0.18",NA,NA,NA
"2290","Uttar Pradesh","Amethi","8","Pankaj Ramkumar Sing","Akhand Rashtrawadi Party","1057","0","1057","0.11",NA,NA,NA
"2291","Uttar Pradesh","Amethi","9","Bas Deo Maurya","Communist Party of India (Marxist-Leninist) Red Star","986","2","988","0.1",NA,NA,NA
"2292","Uttar Pradesh","Amethi","10","Ram Milan","Rashtriya Apna Dal","1144","0","1144","0.12",NA,NA,NA
"2293","Uttar Pradesh","Amethi","11","Ram Sidh Yadav","Manavtawadi Samaj Party","3052","3","3055","0.32",NA,NA,NA
"2294","Uttar Pradesh","Amethi","12","Shatrunjai Pratap Singh","Lok Gathbandhan Party","1716","0","1716","0.18",NA,NA,NA
"2295","Uttar Pradesh","Amethi","13","SHIV Nandan Singh","Bharatiya Sampuran Krantikari Party","1947","1","1948","0.21",NA,NA,NA
"2296","Uttar Pradesh","Amethi","14","Gopal Prasad","Independent","3177","0","3177","0.34",NA,NA,NA
"2297","Uttar Pradesh","Amethi","15","Dinesh Kumar","Independent","4301","0","4301","0.46",NA,NA,NA
"2298","Uttar Pradesh","Amethi","16","Dhurv lal","Independent","7816","0","7816","0.83",NA,NA,NA
"2299","Uttar Pradesh","Amethi","17","Bhagwandeen","Independent","3860","0","3860","0.41",NA,NA,NA
"2300","Uttar Pradesh","Amethi","18","Ram Sajiwan","Independent","5616","0","5616","0.6",NA,NA,NA
"2301","Uttar Pradesh","Amethi","19","Lal Babu","Independent","2318","0","2318","0.25",NA,NA,NA
"2302","Uttar Pradesh","Amethi","20","Vipin Yadav","Independent","1039","0","1039","0.11",NA,NA,NA
"2303","Uttar Pradesh","Amethi","21","Shiv Kumar","Independent","495","0","495","0.05",NA,NA,NA
"2304","Uttar Pradesh","Amethi","22","Dr. U.P. Shivananda","Independent","546","1","547","0.06",NA,NA,NA
"2305","Uttar Pradesh","Amethi","23","Saritha S. Nair","Independent","568","1","569","0.06",NA,NA,NA
"2306","Uttar Pradesh","Amethi","24","Suresh Kumar Shukla","Independent","779","0","779","0.08",NA,NA,NA
"2307","Uttar Pradesh","Amethi","25","Mo. Hasan Lahari","Independent","1224","0","1224","0.13",NA,NA,NA
"2308","Uttar Pradesh","Amethi","26","Harun Rasheed","Independent","2083","2","2085","0.22",NA,NA,NA
"2309","Uttar Pradesh","Amethi","27","Hemant Kumar","Independent","1580","0","1580","0.17",NA,NA,NA
"2310","Uttar Pradesh","Amethi","28","NOTA","None of the Above","3931","9","3940","0.42",NA,NA,NA
"2311","Uttar Pradesh","Rae Bareli","1","DINESH PRATAP SINGH","Bharatiya Janata Party","365839","1901","367740","38.36",NA,NA,NA
"2312","Uttar Pradesh","Rae Bareli","2","SONIA GANDHI","Indian National Congress","533687","1231","534918","55.8",NA,NA,NA
"2313","Uttar Pradesh","Rae Bareli","3","ASHOK PRATAP MAURYA","Aajad Bharat Party (Democratic)","9449","10","9459","0.99",NA,NA,NA
"2314","Uttar Pradesh","Rae Bareli","4","KIRAN CHAUDHARY","Bahujan Mukti Party","2629","22","2651","0.28",NA,NA,NA
"2315","Uttar Pradesh","Rae Bareli","5","RAM NARAYAN","Voters Party  International","1726","2","1728","0.18",NA,NA,NA
"2316","Uttar Pradesh","Rae Bareli","6","RAM SINGH YADAV","Pragatishil Samajwadi Party (Lohia)","2282","23","2305","0.24",NA,NA,NA
"2317","Uttar Pradesh","Rae Bareli","7","RAMESHVAR LODHI","Sabka Dal United","2117","2","2119","0.22",NA,NA,NA
"2318","Uttar Pradesh","Rae Bareli","8","SUNEEL KUMAR","Peace Party","1770","1","1771","0.18",NA,NA,NA
"2319","Uttar Pradesh","Rae Bareli","9","HORI LAL","Pragatisheel Samaj Party","3295","1","3296","0.34",NA,NA,NA
"2320","Uttar Pradesh","Rae Bareli","10","NAIMISH PRATAP NARAYAN SINGH","Independent","1765","0","1765","0.18",NA,NA,NA
"2321","Uttar Pradesh","Rae Bareli","11","PRAMENDRA KUMAR","Independent","2887","1","2888","0.3",NA,NA,NA
"2322","Uttar Pradesh","Rae Bareli","12","PRAMOD KUREEL","Independent","3454","5","3459","0.36",NA,NA,NA
"2323","Uttar Pradesh","Rae Bareli","13","VIJAY BAHADUR SINGH","Independent","2812","2","2814","0.29",NA,NA,NA
"2324","Uttar Pradesh","Rae Bareli","14","SARTAJ KHAN","Independent","3333","0","3333","0.35",NA,NA,NA
"2325","Uttar Pradesh","Rae Bareli","15","SURENDRA BAHADUR SINGH","Independent","8051","7","8058","0.84",NA,NA,NA
"2326","Uttar Pradesh","Rae Bareli","16","NOTA","None of the Above","10225","27","10252","1.07",NA,NA,NA
"2327","Uttar Pradesh","Lucknow","1","Poonam Shatrughan Sinha","Samajwadi Party","282858","2866","285724","25.59",NA,NA,NA
"2328","Uttar Pradesh","Lucknow","2","Acharya Pramod Krishnam","Indian National Congress","178904","1107","180011","16.12",NA,NA,NA
"2329","Uttar Pradesh","Lucknow","3","Rajnath Singh","Bharatiya Janata Party","627881","5145","633026","56.7",NA,NA,NA
"2330","Uttar Pradesh","Lucknow","4","Amar Kumar Raizada","Akhil Bharatiya Jan Sangh","2099","5","2104","0.19",NA,NA,NA
"2331","Uttar Pradesh","Lucknow","5","Kapil Mohan","Mera Adhikaar Rashtriya Dal","471","3","474","0.04",NA,NA,NA
"2332","Uttar Pradesh","Lucknow","6","Ganesh Chaudhari","Saaf Party","506","9","515","0.05",NA,NA,NA
"2333","Uttar Pradesh","Lucknow","7","Girish Narain Pande","Sarvodaya Bharat Party","565","4","569","0.05",NA,NA,NA
"2334","Uttar Pradesh","Lucknow","8","Haji Faheem Siddiqui","Indian National League","569","3","572","0.05",NA,NA,NA
"2335","Uttar Pradesh","Lucknow","9","Professor D.N.N.S. Yadav","Peoples Party of India (Democratic)","666","9","675","0.06",NA,NA,NA
"2336","Uttar Pradesh","Lucknow","10","Ramesh","All India Forward Bloc","730","9","739","0.07",NA,NA,NA
"2337","Uttar Pradesh","Lucknow","11","Ram Sagar Pal","Awami Samta Party","1232","19","1251","0.11",NA,NA,NA
